제목,축제 기간,주소,비용,상세 내용
양평 용문산 산나물축제,2024.04.26 ~ 2024.04.28,경기도 양평군 용문산로 656 용문산 매표소,무료,"양평 용문산 산나물축제는 역사적 기록을 바탕으로 2008년 시작되었다. 15세기 『세종실록지리지』에 따르면 양평은 지방의 토산물로 대추, 석이버섯, 느타리, 지초(영지버섯) 등을 국가에 바쳤으며, 양평의 특산물은 산겨자, 신감채(당귀) 등 이었다. 또한 양평 산나물은 실학사대가인 유득공의 시 「용문산의 두 나물로 선비를 먹이다」에도 등장하여, 그 맛과 향이 탁월하였음을 알 수 있다. 조선시대 실학자 유형원이 편찬한 지리서 『동국여지지』에는 ‘임금님 진상품으로 용문산 산나물이 최고’라고 기록되어있다. 산나물축제가 제14회를 맞이한 지금, 여전히 양평의 산나물은 그 우수성을 간직하고 있다. 바쁘게 살아가는 현대인들, 밥 한 끼 잘 먹지 못하고 있다면, 혹은 먹어도 먹어도 늘 어딘가 허기진다면 힐링 푸드이자 슬로우 푸드인 산나물을 인스턴트와 패스트푸드 대신 식탁에 올려놓자. 자연의 선물, 산나물이 답이다.
[행사내용]
1. 무대프로그램: 산나물속성과외&산나물골든벨, 산나물캠핑요리 수업, 우리가족 산나물요리왕, 그린 클래스, 산나물연극, 산나물마술쇼, 산나물칵테일쇼, 산나물천하장사대회
2. 전시프로그램: 미디어아트 기획전시, 꽃·나물 전시회, 산나물카페 및 홍보관
3. 체험프로그램: 우리끼리 피크닉, 농촌체험마을, 업사이클링 체험, 숲놀이터, 산나물 헬스투어, 양춘이와 산나물게임, 페이스페인팅&타투
4. 판매장: 산나물판매장, 먹거리판매장, 마켓운영"
우도 소라 축제,2024.04.26 ~ 2024.04.28,제주특별자치도 제주시 우도면 연평리 1737-9번지 일원,무료,"우도 내 연간 142여만명 이상이 방문함에 따라 지역 특산물인 뿔소라를 테마로 다양한 볼거리, 먹거리, 즐길거리를 통한 지역 특산품 홍보와 지역문화를 접목하는 축제룰 개최한다.
[행사내용]
1. 메인프로그램
- 소라이벤트(소라 및 지역 특산물 경매, 소라퀴즈 서바이벌, 내 손안에 소라 등 직접 참여 체험)
- 우도체험(해산물 채취 및 우도팔경 체험, 선상낚시체험 및 우도사진전 등)

2. 부대프로그램
- 야간행사 우밤 나이트, 불꽃놀이
- 건강체험과 연계한 플로깅

3. 소비자 참여 프로그램
- 장기자랑(4개리 주민 장기자랑, 나도 슈퍼스타, 우밤 나이트 등)
- 우도 역사퀴즈대회, 우도 소라죽 만들기, 플리마켓 등

4. 기타 내용 : 일회용컵 없는 리싸이클링 축제 추진 등"
전천축제,2024.04.26 ~ 2024.04.28,강원특별자치도 동해시 동해대로 4898-5 (나안동),무료,"동해시 대표 도심 속 힐링장소인 '전천'에서 자연환경과 예술의 조화를 통한 문화 및 건강체험을 제공하는 축제이다.
[행사내용]
1. 메인프로그램
- 전야제, 개막식, 페달카약 무료체험, 원님답교놀이 2. 부대프로그램
- 전천 느린우체통, 그림그리기대회, 보물찾기,전천힐링건강걷기

3. 소비자 참여 프로그램
- 소망캡슐등 띄우기(1등 5천원), 플리마켓 및 체험, 전천풍물시장, 초록정 활쏘기 체험행사

4. 기타 내용
- 축제장을 방문하시는 모든 분들께 전천노랑오리 종이모자 증정"
태백 천상의 산나물 축제,2024.04.26 ~ 2024.04.28,강원특별자치도 태백시 장성동 159-31,무료,"향긋한 봄을 맞이하여 산나물 제철을 맞은 태백 산나물이 오는 4월 26일 부터 4월 28일까지 3일간 태백 장성탄탄마당(장성중앙시장) 일원에서 개최된다. 해발고도가 높은 지역에서 재배되어 맛과 향이 진한것이 특징인 태백산나물을 할인된가격으로 만나볼 수 있으며, 축제기간동안 다양한 공연, 먹거리, 경연, 체험행사 및 야시장,프리마켓 등을 즐길 수 있다.
[행사내용]
1. 개막행사 : 개회선언, 산나물 비빔밥 비비기 행사, 축하공연
2. 공연행사 : 국악, 민요, 초청가수(버스킹), 마술, 지역 동아리 공연 등
3. 판매 및 먹거리 행사: 지역 농특산물 가공품 판매장 운영, 산나물 활용 먹거리장 운영
4. 체험행사 : 산나물 식재(곰취 화분만들기), 전통놀이 체험, 풍선아트, 산나물 골든벨, 즉석 노래자랑 등
5. 홍보관 및 산나물 전시장 : 산나물 화분 및 사진 전시, 지역 기관 및 농업 단체 홍보
6. 야시장 및 프리마켓: 지역소상공인과 함께하는 야시장 및 프리마켓 운영"
함안군민의 날,2024.04.26 ~ 2024.04.28,경상남도 함안군 가야읍 함안대로 619-1,무료,"함안군민의 날 행사는 함안군민들이 모두가 어울려 즐겁게 참여하고 따듯한 정을 나누는 행사로 향우만남의 장, 축하공연, 불꽃놀이 등 개막행사뿐만 아니라 읍면별 농악경연대회, 함안군수기 체육대회 등의 민속문화·체육행사와 축하공연·체험·전시 및 각종 홍보, 먹거리홍보 및 시식행사, 프리마켓, 건강걷기대회, 지구촌 다(多가)치마을 등 부대행사가 펼쳐질 예정이다.
[행사내용]
1. 식전행사
1)서제 : 4.26(금) 16:00, 충의공원 - 행사의 시작을 고하고 안전 기원을 위한 제례 행사
2)향우 만남의 장 : 4.26(금) 16:00 ~ 18:30, 함안체육관 - 식전공연, 향우의 소개, 홍보영상 시청 등
3)식전 축하공연 : 4.26(금) 18:00~18:30, 주경기장 특설무대 - MC 하명지, 박유민, 팀 퍼니스트
4)개막식 : 4.26(금) 18:30, 주경기장 특설무대, 군민헌장 낭독, 군민상 시상, 기념사 등

2. 식후행사
1)제15회 함안 처녀뱃사공 전국가요제 : 4.26(금) 19:00, 주경기장 특설무대
2)불꽃놀이 아라가야 봉황새 : 4.26(금) 21:30, 함주공원 일원, 폭죽 및 축포

3. 민속문화행사
1)줄다리기,제기차기,단체줄넘기
- 기간: 2024. 4. 27.(토) 10:00
- 장소: 마사구장 (우천시 함안체육관)
- 참여: 단체전
2)젠가,콩주머니
- 기간: 2024. 4. 27.(토) 10:00
- 장소: 마사구장 (우천시 함안체육관)
- 참여: 단체전, 개인전
3)투호대회,팔씨름,고리걸기,윷놀이
- 기간: 2024. 4. 27.(토) 13:00
- 장소: 마사구장 (우천시 함안체육관)
- 참여: 개인전
4)함안군 농악경연대회
- 기간: 2024. 4. 28.(일) 13:30 ~ 18:00
- 장소: 마사구장(우천시 함안체육관)
5)제33회 아라백일장 및 사행시짓기
- 기간: 2024. 4. 26.(금) 10:00
- 장소: 주경기장 입구
6)무형유산 함안농요 시연
- 기간: 2024. 4. 28.(일) 11:00
- 장소: 야외공연장
7)무형유산 함안화천농악 시연
- 기간: 2024. 4. 28.(일) 12:00
- 장소: 야외공연장

4. 체육행사
1) K-1국제전 및 호국무술 시범대회
- 기간: 2024. 4. 27.(토) 13:00
- 장소: 야외공연장
2)한궁대회
- 기간: 2024. 4. 28.(일) 10:00
- 장소: 마사구장 (우천시 함안체육관)
3)2024년 함안 스트리트댄스 페스티벌
- 기간: 2024. 4. 27.(토) 14:00(예선), 18:00(본선)
- 장소: 함안문화예술회관 대공연장
4)축구대회
- 기간: 2024. 4. 28.(일) 09:00
- 장소: 인조잔디구장
5)테니스대회
- 기간: 2024. 4. 28.(일) 09:00
- 장소: 함주공원 테니스장
6)궁도대회
- 기간: 2024. 4. 28.(일) 09:00
- 장소: 가야정
7)볼링대회
- 기간: 2024. 4. 28.(일) 09:00
- 장소: 함안볼링장
8)배드민턴 대회
- 기간: 2024. 4. 28.(일) 09:00
- 장소: 함안체육관
9)게이트볼 대회
- 기간: 2024. 4. 28.(일) 09:00
- 장소: 함안게이트볼장
10)무예 공연
- 기간: 2024. 4. 27.(토) 13:00
- 장소: 함주공원내 X-게임장
11)X-게임 시범
- 기간: 2024. 4. 27.(토), 28(일) 14:00~17:00
- 장소: 함주공원내 X-게임장

5. 축하공연행사
4.26~4.28 조홍제기념탑, 프린지 공연장 등 22개팀

6. 체험부스
- 4.26~4.28, 주경기장 앞
- 군민과 함께하는 체험놀이,가족과 함께하는 목공체험,나무와 함께 green함안,커피박 키링,마술종이 캐릭터 키링 만들기,모루인형,수제슬라임 만들기 등) 총 16개 체험 부스 진행 7. 전시 행사
1) 월남전 참전 사진 전시회 : 4.26~4.28 주경기장앞
2) 예그리다 무빙갤러리 : 4.26~4.28 함주공원상징마당
3) (故)백양 조정규 화백 유작전 : 4.26~4.28 문화예술회관 전시실

8. 부대행사
1) 한 걸음에 건강 두 걸음에 행복 연꽃테마파크에서 함께해요 : 4.27(토) 10:00~ 연꽃테마파크
2) 군민과 함께하는 힐링 평화 음악회 : 4.27(토) 14:00~18:00, 연꽃테마파크

9. 각종홍보행사
- 3일간 주경기장

10. 먹거리홍보 및 시식 행사
- 3일간 주경기장 앞"
함평나비대축제,2024.04.26 ~ 2024.05.06,전라남도 함평군 함평읍 곤재로 27,유료(홈페이지 참조),"4월, 전라남도 함평에서 나비와 꽃, 곤충을 주제로 한 함평나비대축제가 열린다. 알에서부터 애벌레를 거쳐 나비가 되기까지의 성장과장을 알아보거나 세계 각국의 나비와 곤충 표본 450종 9,000여 마리를 구경하고, 생태환경에 대한 다양한 체험이 가능한 축제이다.
[행사내용]
1. 체험프로그램
- 가족과 함께하는 나비날리기(실내 / 실외)
- 나비놀이터
- 젓소목장 나들이 체험
- VR체험장
- 전통민속놀이 체험장 등

2. 문화 예술행사
- 개막식 주제공연
- 어린이날 한마당 잔치 및 경연대회
- 군민의날 행사 및 어버이날 기념행사
- 지역예술단체 공연

3. 전시행사
- 나비곤충생태관
- 수생식물관
- 다육식물관
- 친환경농업관
- 군립미술관(특별 기획전)
- 황금박쥐 전시관

4. 판매장터
- 농특산물 전시, 판매장
- 수공예품 판매장
- 함평천지 한우 판매장
- 먹거리 장터"
대한민국 과학축제,2024.04.25 ~ 2024.04.28,대전광역시 서구 둔산대로 169 (만년동),무료,"과학의 달 4월, 대한민국 대표 과학축제, ""2024 대한민국 과학축제""가 개최된다. 이번 축제에서는 과학기술문화 체험 중심의 '대한민국 과학축제' 와 국가전략기술 연구성과 전시 중심의 '대한민국 과학기술대전'을 통합 개최하여 한자리에서 만날 수 있다. ""세상에서 가장 큰 연구실""을 테마로 다양한 공연이 가득한 개막식과 유명 과학자의 강연, 과학을 테마로 한 융복합 공연, 과학 방탈출, 무중력 체험 등 풍성한 프로그램과 함께 정부출연연구소, 과학기술원, 기업, 민간단체 등 수많은 기관이 참여하는 전시·체험 행사로 대한민국 과학기술문화의 현재와 미래를 함께 즐기고 경험할 수 있다.
[행사내용]
1. 과학과 소통하는 과학톡톡 : 과학을 문화로 즐길 수 있는 하이라이트 강연과 공연 프로그램을 행사기간 내내 운영
2. 호기심과 상상력을 키우는 과학실험실 : 야외 공간을 청소년 전용 실험실로 조성, 특색 있는 체험과 거대 무중력 체험장치, 과학 방탈출, 오픈 스테이지 등 운영
3. 과학기술의 미래가 펼쳐지는 과학뮤지엄 : 2024 대한민국과학기술대전 - 12대 국가전략기술 등 최신 R&D 연구성과 소개
4. 힐링하며 재충전하는 과학라운지 : 원형 광장을 활용한 대규모 쉼터에 300마리 팬더와 함께 하는 과학 이야기, 하이라이트 조형물 등 조성
5. 즐길거리로 가득 찬 과학 테마파크 : 야간 경관을 활용한 레이저쇼, 과학 영화와 함께 즐기는 야시장, 과학 도서관 등"
이천도자기축제,2024.04.25 ~ 2024.05.06,경기도 이천시 신둔면 도자예술로62번길 123,무료,"2024년 제38회 이천도자기축제는 '자연에 도자기가 피어나다, 이천에코세라믹스'를 주제로 일회용품 사용 지양, 도자제품 사용을 권고하며 친환경 용기 사용을 적극 장려한다. 대형돔 도자 전시, 명장전, 도자기x지역콜라보 세트 한정판 제품, 행복한 삼만원전, 트레저헌팅(보물찾기), 버스킹 등 이천도자기축제의 한층 업그레이드 된 체험, 전시, 판매를 볼 수 있으니 12일간 하루도 빠짐없이 축제를 즐길 수 있다.
[행사내용]
1. 메인프로그램
- 기획전시(명장전,현대작가전)
- 친환경 팝업스토어
- 이천도자기x콜라보 한정판 제품
- 나도 도예작가, 도공체험
- 물레시연 및 체험

2. 부대프로그램
- 도자기 플레이팅 전시 및 푸드쇼
- 캐리커쳐
- 흙놀이체험
- 버스킹 거리공연
- 트레저헌팅(도자기 보물찾기)
- 행복한 삼만원전"
계룡산 산신제,2024.04.24 ~ 2024.04.28,충청남도 공주시 계룡면 보목고개로 393 기찬마루,무료,"예로부터 계룡산은 호서 지방의 명산 으로써 국가 3악, 하악단(지리산), 중악단(계룡산), 상악단(금강산) 이라 하였으나 현제는 모두 소실되고 신원사 중악단 만이 남겨져 있다. 조선시대에 국가의 소사(小事)로써 '조선왕조실록'에는 '매년 춘, 추로 향과 축을 내려 제사를 모셨다고 기록되어 있다.
계룡산 산신제 보존회는 고종 이후 소실되어진 산신제를 1998년 다시 복원하여 전통계승과 지역민들의 축제라는 주제로 올해 (2024년) 까지 26년째 치뤄지고 있다.
[행사내용]
1. 메인프로그램 : 중악단 불교식 제례, 계룡단 유교식 제례, 기찬마루 무교식 제례
2. 부대프로그램 : 지역 가수 공연
3. 소비자 참여 프로그램 : 부채그리기 체험, 점사체험, 민속놀이 체험, 설위설경 체험"
아산 성웅 이순신축제,2024.04.24 ~ 2024.04.28,충청남도 아산시 남부로 370-24 (풍기동),무료,"<아산 성웅 이순신축제>는 이순신 장군의 애국 애족 정신과 충효정신을 되살리자는 취지로 이순신 장군의 탄신일을 전후하여 아산시의 명소에서 매년 열리고 있다. 아산 성웅 이순신축제는 구국의 명장인 이순신 장군의 정신을 기리고, 이순신 장군이 일생동안 행해 왔던 삶의 궤적을 다양한 프로그램을 통해 배울 수 있는 축제다.
1961년 최초로 온양문화제 명칭으로 개최된 이래 해마다 진행되어 오늘에 이르고 있으며, 2004년부터 아산 성웅이순신축제로 명칭을 변경하여 개최해오고 있다. 올해 2024년에는 '청년 이순신, 미래를 그리다.'라는 주제로 축제를 개최한다.
[행사내용]
1. 주요 프로그램
- 군악의장 페스티벌
- 이순신장군 출정행렬
- 백의종군길 전국 걷기대회 및 마라톤대회
- 충무공 이순신장군배 전국 노젓기 대회 등

2. 기타
- 즐길 거리, 볼거리, 먹거리 제공
* 이순신 장군을 기리는 기념행사와 공연프로그램 및 시민 참여형 체험 프로그램진행
* 장소: 이순신종합운동장을 비롯한 온양온천역 일원, 현충사, 곡교천 은행나무길 등 아산시 전역"
양화진 근대사 뱃길탐방,2024.04.23 ~ 2024.11.07,서울특별시 마포구 토정로 2 (합정동) 양화진역사공원과 한강 일대,"입장료 유료
1인 10,000원
(군인, 미취학 아동 무료)","양화진 근대사 뱃길탐방'은 서울 양화나루와 잠두봉유적 일대를 중심으로 마포, 한강 일대의 문화유산을 뱃길에서 향유하는 프로그램으로, 국가유산청의 문화 프로그램인 생생국가유산 사업에 등록되어있다. 서울특별시 마포구에서 주최하고 ㈜컬처앤로드 문화유산활용연구소에서 주관한다. 주요 프로그램으로는 양화진 근대사 뱃길탐방 '근대의 물결을 타다', 양화나루에서 즐기는 '양화진 나루잇기', 문화유산 활동가를 양성하는 '양화진 이야기꾼 양성과정', 온라인 키트 체험 '당인리 밤마실'이 있다. 그중에서 대표 프로그램인 양화진 뱃길탐방을 소개하고자 하며, 보다 자세한 사항은 컬처앤로드 블로그서 확인할 수 있다.
[행사내용]
대표 프로그램
1. '근대의 물결을 타다'- 양화나루, 잠두봉유적 일대를 중심으로 이야기꾼이 들려주는 한강 역사이야기(국가유산 선상해설)
2. 시(詩)·서(書)·화(畵) 체험(나만의 뱃노래 만들기)
3. 가야금병창 연주자의 전통 공연 관람

양화진역사공원 내 군진터에 집결하여 프로그램 안내 및 간단한 해설이 진행되며, 선상 답사코스는 잠두봉선착장 - 망원정 - 성산대교 - 난지도 - 가양대교 - 철곶포 - 선유도 - 절두산 - 당인리발전소 - 밤섬 - 서강나루 - 마포나루 - 용산나루 - 노들나루 - 동작나루 - 동/서빙고(이촌동)이다."
